,content,summary,pred_relevance
31,"Surya Prakash Mahapatra wields a wooden hammer and chisel on a log with the confidence of a master carver. Dressed in a red T-shirt and black shorts, the 11-year-old sweats as he carves along the chalk outlines of flowers and animals on the log under the watchful eye of two experienced rupakar servitors (woodcarvers). The class 7 student has been learning woodcarving since he was just 5.

Surya’s “school” is located in the Ratha Khala, barely 500 metres from the 12th century Jagannath Temple in Puri, where three breathtaking chariots used in Puri’s annual Rath Yatra are cut, carved, chiselled, painted, polished and assembled each year — all manually — and his teachers are his father and grandfather.

Tuesday’s yatra expects to see the arrival of nearly 15 lakh devotees from across the globe. Over 150 pairs of hands belonging to labourers, carpenters, artists, painters, etc., worked in tandem to shape over 800 logs into three magnificent chariots by working for 12 hours a day from Akshaya Tritiya onwards, nearly two months before the much-awaited event.

The yatra, which takes place on the second day of the Odia month of Ashadh Shukla Tithi, sees sibling deities — Lord Balabhadra, Goddess Subhadra and Lord Jagannath — embark on a 3-km journey to their ‘aunt’s’ residence at the Gundicha Temple in three gigantic chariots pulled by devotees with the help of 250-feet long ropes made using coconut fibres. The Bahuda Yatra, which marks their return home, will be celebrated with the same fervour on June 28.

The Taladhwaja Rath for Lord Balabhadra, the Darpadalan Rath for Goddess Subhadra and the Nandighosa Rath for Lord Jagannath each have their own colours, height, diameter, wooden horses, guardian deities and even charioteers. Grand engineering marvels, these raths are over 40 feet tall and have at least 12 wheels each. They are made from wood of local trees like fasi, dhaura, simili and asana. The wood is obtained from the Nayagarh forest each year.

These talented rupakar servitors, who don’t have any formal education in woodcarving or use modern machinery or equipment, rely on the wisdom passed down by their ancestors for this “hereditary service”. Ramesh Mahapatra, whose brother Bijay Mohapatra is the biswakarma (chief carpenter) of the Nandighosa Rath, said, “We don’t use measuring tapes or units like feet and inches. Instead, we use units like haat (hand size), anguli (finger size) and a stick as units of measurements. One stick equals one haat and 25 angulis equal one haat.”

The conversation is cut short due to confusion over the size of a log. Intervening swiftly, Ramesh uses the stick passed down to him by his father to resolve the matter.

“Chariot construction work usually starts when Odisha schools go on summer vacation or have morning school (from 7-11 am due to the heat). Just like I started learning from my elders 40 years ago, I wanted my son to learn wood carving too. So I made sure he started young,” Panchanan Mahapatra, Surya’s 46-year-old father, told The Indian Express.

Stating that he hopes Surya relocates to other cities for higher studies, better jobs and higher income, Panchanan added, “We consider this work a service to Lord Jagannath. It is a legacy from our ancestors and we want our children to continue this tradition.”

Besides birds, animals and flowers, rupakar servitors also carve parsva debatas (guardian deities), which are affixed on the chariots. The maharanas (carpenters), bhois (labourers), karatias (wood cutters), chitrakars (painters), kamaras (ironsmith) and others also play an important role in preparing for the yatra. The bhoi sevayats play a critical role in the entire process, from the supply of labourers for the construction of the chariots to carrying large logs to the Ratha Khala. The bhoi sevayats also help apply brakes on the chariots on the day of the yatra. As the chariots near completion, the bhoi sevayats carry the wooden horses and other sculptures that are fixed on the chariots.

Alok Bhoi, a 21-year-old graduate who has been helping his father at the Ratha Khala since the past decade as a bhoi sevayat, said, “I want to go outside Puri for my career, but this work is sacred for me. I want to continue doing it.”

Balakrushna Maharana, a 46-year-old maharana sevayat who supervises the construction of the Taladhwaja Rath, said he feels privileged to be a part of the process. “I have seen three generations of my family engaged in this service. I encourage my son, who is in class 7, to learn these techniques too,” said Balakrushna, who works as a carpenter and a Patachitra painter after the yatra.

Once the chariots are assembled, around 20 chitrakar sevayats (artists) work extra hours for two weeks before the yatra to paint the statues of the guardian deities affixed on each chariot.

Though many servitors said they don’t do this service for the money, the Shree Jagannath Temple Administration (SJTA) pays remuneration ranging from Rs 400 to Rs 1,200 per day. The total budget for the 2022-23 yatra was Rs 14.76 crore, while the budget for 2023-24 is estimated to be Rs 16.62 crore. The budget includes the cost of chariot construction, security, ceremonies, temple beautification, etc. The logs are not included in the total budget since they are supplied by the state government .

A temple official said, “The erstwhile kings of Puri (the Gajapatis who are known as the first servitors) supervised the construction of the chariots and the supply of wood till 1954. With the implementation of the Jagannath Temple Act in 1954, the state forest and environment departments started supplying wood from the forests in Nayagarh district, which was a part of the undivided Puri district.”

On the day of the yatra, Puri Gajapati Dibyasingha Deb arrives in a palanquin from his palace, which is 500 metres from the temple, in a ceremonial procession. He conducts the chhera panhara rituals, as part of which he sweeps the floor of the chariot with a golden broom.

After the yatra, the SJTA sells parts of the chariots — wheels for Rs 50,000 and axles for Rs 15,000 per piece. The unsold parts are used as firewood in the temple kitchen, added the official.","The Indian Republic of India is hosting the world's first Rath Yatra on Tuesday, celebrating the arrival of nearly 15 lakh devotees from around the world. The yatra features three magnificent chariots made from wood of local trees and is made from the Nayagarh forest each year. The event is inspired by the wisdom passed down by their ancestors for this “hereditary service” and will be celebrated with the same fervour on June 28. The bhoats, bhats, and katas (woodcutters) also play a critical role in the process.",0
32,"Between April and May 2003, the Indian Army carried out Operation Sarp Vinash in the hilly heights of Poonch to liberate Hilkaka – a hamlet nestled high up in the mountains of Surankote tehsil — from militants who had established a parallel state on those heights.

The operation marked a turning point against cross-border militancy in the area, and led to nearly two decades of peace in Poonch district and neighbouring Rajouri, both located along the Line of Control with Pakistan.

Now, in the 20th anniversary year of the Hilkaka operation, as the larger Jammu region faces an uptick in militant attacks – 10 soldiers were killed in two militant ambushes in the Rajouri-Poonch area in April and May this year, making this one of the deadliest years for the forces — the hero of Hilkaka, Tahir Fazal Hussain, a Gujar resident of the nearby Marrah village who led the civilian uprising against militant groups in the area, has a piece of advice for the government: get the local people on your side.

Overlooking the slopes of Hilkaka, near a memorial honouring soldiers and civilians who laid down their lives in battles against militants between 2002 and 2004, Hussain, now in his fifties and wearing an olive green salwar, a long full-sleeved shirt, and a baseball cap, tells The Indian Express, “My guess is that there are probably no more than 18 militants roaming the area, and perhaps only six are hardcore fighters. If we can’t handle these guys, then what is the point of the Rafales we just bought from France, or for that matter all our tanks, and firepower? If the local people are not on your side, then all that is useless, isn’t it?”

The memorial – at the entrance of the Kulali Army camp, which came up after the Hilkaka operation — has two life-size statues: one of a soldier and, the other, of Hussain.

Hussain says the government, intelligence agencies, and the forces are not reaching out to locals the way officials had done two decades ago. “Fighting is just two per cent of the job. Information is everything. And the (intelligence) agencies are not getting the right information because they are not making the effort to tap the right sources, and their approach to people is all wrong,” Hussain says.

Hussain, however, doesn’t fear a return to the time when Surankote had become a haven of Pakistani militants, who built shelters, a two-storeyed hospital and amassed stores to last months. That’s because, he says, “the Gujar remains a loyal Indian”.

He then strikes a note of caution – “but there are people in the community who are vulnerable to the enemy for various reasons”.

One of the reasons for this vulnerability, he says, is the “anti-Muslim sentiment that has taken hold of the country”, something the enemy is exploiting. “They (the enemy) are telling people here that the Hindutva guys will reconvert all Muslims here into Hindus,” he says.

Second, the proposed inclusion of the Pahadi community in the Scheduled Tribes category — a draft legislation now awaits parliamentary approval — has “created anger in the (Gujjar) community”, he says, adding that he himself led a march from his village against the government’s move.

And third, people were falling for the money the enemy was offering. “If we want to earn money now, these guys can send us to Paris. That’s how much they are offering. They are paying by the hour,” he says.

Drug smuggling is a huge source of money for the militants, Hussain says, adding, “It’s at the root of all the problems. In some villages along the border, you can get Pakistan telecom signals. Some people who fall prey to the militants are given SIMs, all they have to do is keep their phones with that SIM at a pre-arranged place. The drone follows the signals and drops the contraband. After that, the guy’s job is just to drop it off at the next point, and then someone else transports it further to the dealer.”

Hussain recalls how he returned from Saudi Arabia in June 2002, leaving behind his job as a supervisor at a marble workshop where he earned Rs 50,000 a month, to avenge the death of his brother at the hands of the Lashkar-e-Toiba militants.

The incident, he says, was triggered by the rape of a woman in the village, allegedly by militants. Hussain says his brother, a religious leader in the village, confronted the LeT commanders about the rape. The rapist was identified by the victim and later killed, but Hussain says that for the militants, his brother became a marked man — he was beaten to death with sticks.

Hussain soon joined the Village Defence Committee (VDC) as a special police officer (SPO) for Rs 1,500 a month. “I knew I needed an AK 47 to take on the militants; without becoming an SPO, I could not get an AK,” he says, recalling that within a month of returning home, he shot dead the militant who led the attack on his brother.

Soon after, he and others in the village formed the “Pir Panjal Scouts” under the banner of “Jammu Peace Mission”. It worked alongside the J&K Police and the Army. Many village men who worked alongside Hussain in Saudi Arabia responded to his call and returned home to take part in the fight. A VDC was formed with a women’s wing, with Hussain’s wife Munira Begum its commander.

“We villagers fought shoulder to shoulder with the Army,” he says. The Hilkaka operation followed in April-May the following year.

“The village lost 14 fighters in those two-three years, but we killed over a 100 militants 2002 onwards, and continue to eliminate them even after the main operation ended in May 2003 (65 is the official number of militants killed in Operation Sarp Vinash). Only 87 bodies of the militants were found, and I stood adamant that the bodies of 14 Lashkar militants should not be given a burial after the zulm (atrocity) they had carried out in my village. I told the authorities that I did not care if their corpses were eaten by dogs, but they should not find their final resting place in my Jammu & Kashmir,” he said. In all, 45 villagers in Marrah, Kulali and Hilkaka were killed by the militants between 2002-2004.

Hussain says he recently went to Gursain, the village that came under the scanner after the militant ambush on the truck at Bhatta Durian that killed five soldiers, to speak to the villagers there.

“One guy told me, Tahir, you put us on a pedestal and took away the ladders. I asked them, ‘Tumhara dimagh kharab ho gaya hai (have you lost your mind)? If you have to live here, you have to remain loyal to this country. Hindustan hi sabse badhi seedi hai tumhare liye. Governments may come and go, but Hindustan kahin nahin ja raha (India will stay)’,” says Hussain.","As Jammu sees terror push, hero of Hilkaka Tahir Fazal Hussain, a Gujar resident of the nearby Marrah village who led the civilian uprising against militant groups in the area, has a piece of advice for the government: get the local people on your side. Hussain believes that there are probably no more than 18 militants roaming the area and perhaps only six are hardcore fighters. He also believes that anti-Muslim sentiment in the region is taking hold of the country and that people are falling for the money the enemy is offering. Finally, he has a point to point to when a woman from Lashkar-Toiba militants was raped by the militants.",0
33,"The slow progression of the monsoon in India has caused significant delays in the sowing of crucial kharif crops such as paddy, oilseeds, and pulses. With rainfall arriving late in Kerala and the country experiencing deficient precipitation overall, concerns are mounting that El Nino could further suppress the much-needed rains.

Santosh Jhanwar, the Chief Executive of Agriwatch, a farm research firm working with around half a million farmers, noted that there is currently a lag of 10-12 days in sowing across major agricultural regions. Any further delay in the monsoon's progress will result in lower crop yields. Presently, the country is facing a rainfall deficiency of 37%. The monsoon arrived in Kerala on June 8, which is later than the normal onset date of June 1.

Sowing of pulses typically begins only four to five days after the monsoon arrives, as farmers require 2-2.5 inches of water in their fields. However, Suresh Agarwal, President of the All India Dal Mill Association, highlighted that due to the significant rainfall deficiency, soil moisture levels are depleting.

Skymet, a private weather forecasting agency, has issued a ""dismal"" outlook for rainfall in the core agricultural zone until the first week of July. This period is crucial for sowing or preparing the fields for the kharif season. Skymet warned that the agricultural heartland appears cracked and parched.

One of the crops likely to be severely affected is soybean, which requires a substantial amount of water. Rahul Chauhan, Director of iGrain, an agri-research firm, stated that there might be a lower acreage for soybean cultivation this year. The India Meteorological Department (IMD) reported that the monsoon has remained stagnant in several regions, including Ratnagiri, Koppal, Puttaparthi, and Sriharikota in the south, as well as Malda and Forbesganj in the east.

Despite the onset of El Nino, which can disrupt global rainfall patterns, the IMD predicts a normal monsoon for this year. Rainfall deficiencies are particularly pronounced in central India, with a shortfall of 55%, and in the southern peninsula, with a deficit of 61%. The east and northeast zones are experiencing a 23% rainfall deficiency.

Following the rainfall brought by Cyclone Biparjoy over parts of Gujarat and Rajasthan, the deficiency in northwestern India has reduced.","The slow progression of the monsoon in India has caused significant delays in the sowing of crucial kharif crops such as paddy, oilseeds, and pulses. With rainfall arriving late in Kerala and the country experiencing deficient precipitation overall, concerns are mounting that El Nino could further suppress the much-needed rains. Presently, the country is facing a rainfall deficiency of 37%. Skymet, a private weather forecasting agency, has issued a ""dismal"" outlook for rainfall in the core agricultural zone until the first week of July. Rainfall deficiencies are particularly pronounced in central India, with a shortfall of 55%, and in the southern peninsula. The east and northeast zones are experiencing a 23% rainfall deficiency, while the deficiency in northwestern India has reduced.",0
34,"SPRINGFIELD, Ill. — Illinois dairy farmers are committed to building up communities experiencing food insecurity.

Recognizing the hardships many families are facing, the Illinois Milk Producers Association donated nearly 10,000 pounds of milk, including lactose-free, between two local food banks.

“We know that many families are struggling with food insecurity amid rising prices at the grocery store,” said Don Mackinson, IMPA president. “Everyone deserves access to fresh, nutritious food, which is why Illinois dairy farmers wanted to find a new way to support our communities.”

IMPA donated 2,088 half-gallon containers of milk, and 396 half-gallon containers of lactose-free milk, to the Central and Eastern Illinois Foodbanks.

The donation was made in partnership with Prairie Farms, Illinois Corn Growers Association and Illinois Soybean Association.

Tasha Bunting, IMPA executive director, said the donation coincided with the start of June Dairy Month, a time when dairy farmers and the dairy industry are celebrated.

“Dairy Month is an opportunity to share not only what our dairy farmers are doing and the challenges they’re facing, but also fund things like dairy recipes and dairy consumption,” Bunting said.

“This year, we’ve started a new program to help some of those families in need of dairy products, especially during a time when inflation is such a challenge for many.”

Prairie Farms delivered the donations to the Central Illinois Foodbank in Springfield and the Eastern Illinois Foodbank in Urbana on June 6.

“Central Illinois Foodbank is excited to work with great partners to feed our neighbors healthy and nutritious foods. Thanks to a community effort from Illinois Milk Producers Association, Illinois Corn Growers Association, Illinois Soybean Association and Prairie Farms, our neighbors have greater access to dairy,” said Pam Molitoris, Central Illinois Foodbank executive director.

“Families facing hunger have to make unthinkable choices every day. When you are choosing between making rent and putting food on the table, dietary restrictions may be put aside. A lactose-free milk option provides families with the opportunity to enjoy nutritious alternatives.”

Illinois Department of Agriculture Director Jerry Costello II joined IMPA and the Central Illinois Foodbank to acknowledge the role the dairy industry plays in Illinois’ economy.

“There are about 400 dairy farmers in the state of Illinois, and I think anybody who’s in or around agriculture knows the hours and work that goes into dairy farming is second to none,” Costello said.

“It is something that is very physically and mentally exhausting. We’re also just coming off of May, which is mental health month. We have a Farm Family Resource Initiative Helpline — 833-FarmSOS — for all those folks in agriculture that may be experiencing stresses.”","The Illinois Milk Producers Association (IMPA) has donated nearly 10,000 pounds of milk to two local food banks in an effort to help families experiencing food insecurity. The donation was made in partnership with Prairie Farms, Illinois Corn Growers Association and Illinois Soybean Association. IMPA president Don Mackinson said everyone deserves access to fresh, nutritious food and the donation coincided with the start of June Dairy Month, a time when dairy farmers and the dairy industry are celebrated. The Central and Eastern Illinois Foodbanks and Central Illinois Foodbank are working together to provide lactose-free milk options for families facing hunger. The Illinois Department of Agriculture Director Jerry Costello II joined IMPA and the CentralIllinois Foodbank to acknowledge the role the Dairy industry plays in Illinois’ economy.",0
35,"KUALA LUMPUR, June 20 (Reuters) - Malaysian palm oil futures rose for a sixth straight session on Tuesday, hovering near a six-week high touched in the previous session, as the ringgit weakened and traders fretted about lower output estimates.

The benchmark palm oil contract FCPOc3 for September delivery on the Bursa Malaysia Derivatives Exchange gained 28 ringgit, or 0.75%, to 3,785 ringgit ($816.26) per metric ton in early trade.

* Cargo surveyors are scheduled to release June 1-20 export shipment data later in the day.

* The Southern Peninsula Palm Oil Millers' Association estimated June 1-15 production in some parts of Malaysia will fall 4.6% from the month before amid hot and dry weather, according to traders and analysts.

* The ringgit MYR=, palm's currency of trade, fell 0.26% against the dollar, making the commodity cheaper for buyers holding foreign currency.

* Dalian's most-active soyoil contract DBYcv1 rose 0.9%, while its palm oil contract DCPcv1 gained 1%. Soyoil prices on the Chicago Board of Trade BOcv1 were unchanged.

* Palm oil is affected by price movements in related oils as they compete for a share in the global vegetable oils market.

* Stocks in Asia fell and oil prices were mixed as investors worried China's latest rate cut was not enough to boost confidence in the weakening economy and awaited a wider stimulus package by Beijing. MKTS/GLOBO/R","Malian palm oil futures rose for a sixth straight session on Tuesday, hovering near a six-week high touched in the previous session, as the ringgit weakened and traders fretted about lower output estimates. The benchmark palm oil contract FCPOc3 for September delivery on the Bursa Malaysia Derivatives Exchange gained 28 ringgit, or 0.75%, to 3,785 ringgit ($816.26) per metric ton in early trade. The Southern Peninsula Palm Oil Millers' Association estimated June 1-15 production in some parts of Malaysia will fall 4.6% from the month before amid hot and dry weather, according to traders and analysts. Stocks in Asia fell and oil prices were mixed as investors worried China's latest rate cut was not enough to boost confidence in the weakening economy and awaited a wider stimulus package by Beijing.",0
36,"Researchers found Leaf arrangements in the earliest plants differ from those in most modern plants, casting doubt on a long-held theory about the origins of a well-known mathematical pattern found in nature. The study was published in the journal, 'Science.'

According to the findings, the arrangement of leaves into distinctive spirals, which is common in nature today, was not common in the most ancient land plants that first populated the earth's surface. Instead, the ancient plants were discovered to have a different type of spiral. This contradicts a long-held theory about the evolution of plant leaf spirals, which suggested that they evolved along two distinct evolutionary paths.

Spirals are common in nature, whether they are the vast swirls of a hurricane or the intricate spirals of the DNA double-helix, and most can be described by the famous mathematical series the Fibonacci sequence. Named after the Italian mathematician, Leonardo Fibonacci, this sequence forms the basis of many of nature's most efficient and stunning patterns.

Spirals are common in plants, with Fibonacci spirals making up over 90 per cent of the spirals. Sunflower heads, pinecones, pineapples and succulent houseplants all include these distinctive spirals in their flower petals, leaves or seeds. Why Fibonacci spirals, also known as nature's secret code, are so common in plants has perplexed scientists for centuries, but their evolutionary origin has been largely overlooked.

Based on their widespread distribution it has long been assumed that Fibonacci spirals were an ancient feature that evolved in the earliest land plants and became highly conserved in plants. However, an international team led by the University of Edinburgh has overthrown this theory with the discovery of non-Fibonacci spirals in a 407-million-year-old plant fossil.

Using digital reconstruction techniques the researchers produced the first 3D models of leafy shoots in the fossil clubmoss Asteroxylon mackiei - a member of the earliest group of leafy plants. The exceptionally preserved fossil was found in the famous fossil site the Rhynie chert, a Scottish sedimentary deposit near the Aberdeenshire village of Rhynie.

The site contains evidence of some of the planet's earliest ecosystems - when land plants first evolved and gradually started to cover the earth's rocky surface making it habitable. The findings revealed that leaves and reproductive structures in Asteroxylon mackiei, were most commonly arranged in non-Fibonacci spirals that are rare in plants today.

This transforms scientists understanding of Fibonacci spirals in land plants. It indicates that non-Fibonacci spirals were common in ancient clubmosses and that the evolution of leaf spirals diverged into two separate paths. The leaves of ancient clubmosses had an entirely distinct evolutionary history from the other major groups of plants today such as ferns, conifers and flowering plants.

The team created the 3D model of Asteroxylon mackiei, which has been extinct for over 400 million years, by working with digital artist Matt Humpage, using digital rendering and 3D printing. The research, published in the journal Science, was funded by UK Research and Innovation (UKRI), The Royal Society and the German Research Foundation.

The study also involved researchers from, University College Cork, Ireland, University Munster, Germany and Northern Rogue Studios, UK. Dr Sandy Hetherington, an evolutionary palaeobiologist and the project's lead at the University of Edinburgh, said:

""Our model of Asteroxylon mackiei lets us examine leaf arrangement in 3D for the first time. The technology to 3D print a 407-million-year-old plant fossils and hold it in your hand is really incredible. ""Our findings give a new perspective on the evolution of Fibonacci spirals in plants.""

Holly-Anne Turner, who worked on the project as an undergraduate student at the University of Edinburgh and is the first author of the study, said: ""The clubmoss Asteroxylon mackiei is one of the earliest examples of a plant with leaves in the fossil record.

""Using these reconstructions we have been able to track individual spirals of leaves around the stems of these 407 million-year-old fossil plants. Our analysis of leaf arrangement in Asteroxylon shows that very early clubmosses developed non-Fibonacci spiral patterns.""","Researchers from the University of Edinburgh have discovered that leaf arrangements in the earliest plants differ from those in most modern plants, casting doubt on a long-held theory about the origins of a well-known mathematical pattern found in nature. The study was published in the journal Science and involved researchers from University College Cork, Ireland, University Munster, Germany and Northern Rogue Studios, UK. It also revealed that leaves and reproductive structures in Asteroxylon mackiei, were most commonly arranged in non-Fibonacci spirals that are rare in plants today. The research was funded by UK Research and Innovation (UKRI), The Royal Society and the German Research Foundation.",0
37,"Duty on sunseed exports led to an increase in sunflower oil production in Kazakhstan

Kazakhstan’s export duty on sunflower seeds of 20%, but not less than EUR 100 per ton, introduced in early 2023, helped provide local oil extraction companies with raw materials.

According to the Minister of Agriculture of the Republic of Kazakhstan Yerbol Karashukeyev, oil production in the country has increased by 62% since the introduction of restrictive measures, and prices on the domestic market have decreased by more than 8% in 2023.

“At the same time, the export of sunflower oil last year amounted to 229.4 thsd tonnes, which is 1.7 times more than in 2021,” the report says.

According to the Ministry of Agriculture, there are 70 enterprises producing vegetable oils in Kazakhstan. The supply of these products to the domestic market is 141%.

In addition, according to the National Association of Oilseed Processors (NAPMC), in September-April of 2022/23 MY Kazakhstan produced 291 thsd tonnes of sunflower oil, up 81% compared to the same period last season.","Kazakhstan's export duty on sunflower seeds of 20%, but not less than EUR 100 per ton, introduced in early 2023, has led to an increase in sunflower oil production in the country. According to the Ministry of Agriculture, there are 70 enterprises producing vegetable oils in Kazakhstan and the supply of these products to the domestic market is 141%. In September-April of 2022/23 MY Kazakhstan produced 291 thsd tonnes of sunfloweroil, up 81% compared to the same period last season.",1
38,"Farmers in the southern Brazilian state of Parana have started harvesting their 2022/23 safrinha corn. The early harvest pace is less than 1% and it is being slowed by wet weather. The Department of Rural Economics reported that as of earlier this week, the safrinha corn was 1% in vegetative development, 21% pollinating, 69% filling grain, and 9% mature. The corn is rated 2% poor, 14% average, and 84% good.

The corn in the southern and western regions of the state is the most mature, while the corn in the northern parts of the state is the least mature.

In the region of Londrina in northern Parana, wet weather during the soybean harvest delayed the planting of the safrinha corn by approximately two weeks. After the safrinha corn was planted, the weather turned dryer, negatively impacting the corn development. According to the director of the Rural Union of Londrina, safrinha corn yields are normally in the range of 100 to 120 sacks per hectare (95 to 114 bu/ac), but this year the yields should be in the range of 70 to 80 sacks per hectare (67 to 76 bu/ac).

Over the last several weeks, rainfall has returned to northern Parana which should help the later developing corn, but the crop needs to stay frost-free for two more months to insure its full yield potential.","Farmers in the southern Brazilian state of Parana have started harvesting their 2022/23 safrinha corn, which is 1% in vegetative development, 21% pollinating, 69% filling grain, and 9% mature. The corn is rated 2% poor, 14% average, and 84% good, while the corn in the northern parts of the state is the least mature. Wet weather during the soybean harvest delayed the planting of the corn by approximately two weeks due to the weather. Over the last several weeks, rainfall has returned to northern Parana which should help the later developing corn, but the crop needs to stay frost-free for two more months to insure its full yield potential.",0
39,"Farmers in the state of Mato Grosso have sold 44% of their anticipated 2022/23 safrinha corn production, which represents an increase of 6% during the month of May. Mato Grosso is the largest safrinha corn producing state in Brazil responsible for slightly less than half of Brazil’s safrinha corn production. The safrinha production, which is planted after soybeans are harvested, represents about 76% of Brazil’s total corn production.

The safrinha corn harvest in the state is just getting underway and a lack of storage space may force farmers to sell their corn despite disappointing corn prices. The lack of storage is due to farmers still holding a significant portion of their record 2022/23 soybean crop. The average price of corn in Mato Grosso during May was R$ 38.45 per sack (approximately $3.50 per bushel), which was down 21% compared to April.

For the 2023/24 corn crop, farmers in the state have forward contracted 3.7% of their anticipated production, which represented an advance of only 0.6% from April. The slow sales are due to low prices. The average price during May for the 2023/24 corn crop was R$ 32.78 per sack or approximately $3.00 per bushel, which is down 21% from April.","Mato Grosso, Brazil, has reported an increase of 6% of its safrinha corn production during the month of May, with farmers selling 44% of their anticipated 2022/23 production. This is due to a lack of storage space and low prices due to low storage capacity. Farmers have forward contracted 3.7% of anticipated production for the 2023/24 corn crop, with the average price of corn during May at R$ 32.78 per sack or approximately $3.00 per bushel down 21%.",0
40,"GIWA Crop Report: WA’s grain growing season ‘transformed’ and ‘turned around dramatically’ by rainfall

Grain crops showing moisture stress just weeks ago have been ‘transformed’ by recent rainfall across Western Australia, boosting the State’s grain production potential to average to above-average.

Falls of up to 100mm this month have given farmers the seasonal break they were hoping for after almost no rainfall since the start of the year caused them to seed crops dry.

The Grain Industry Association of WA this month released its crop report for June, revealing that the State’s crop potential had “turned around dramatically” in a period of about four days.

Crop reporter Michael Lamond, an agronomist at York, said farmers in the northern third of the grain growing regions had been “looking down the barrel” of a very poor year until earlier this month.

“Emerged crops were showing signs of moisture stress and much of the northern and southern grain belt were dusty and brown,” he said.

“This has since changed, with several good falls… in some cases exceeding the average rainfall for the whole of June.”

The year to date rainfall for the whole State – excluding some eastern edges of the grain belt – are now at levels where reasonable tonnages of production were possible.

WA grain farmers have planted 8.53 million hectares of crop this year, with the Kwinana Zone (which includes two areas, north and south) leading the way with 4.25 million hectares.

Comparatively, farmers in the Albany Port Zone have planted 1.70Mt, those in the Geraldton Port Zone 1.36Mt and the Esperance Port Zone 1.21Mt.

Wheat is still the biggest crop in WA, with 4.63 million hectares going into the ground across the grain growing regions, followed by canola at 1.8 million hectares, barley at 1.54 million hectares, lupins at 260,000 hectares, oats at 215,000ha and pules at 40,000ha.

While rain early in June has been significant, climate models continue to agree that below-normal rain is more likely between July and September for most of Australia – with the likelihood of an El Nino event developing in the Pacific Ocean increasing.

Mr Lamond said the entire Kwinana South Zone and the southern portion of the Kwinana North East zone were now in nearly as good a shape as this time last year, with the latter in a race for average grain potential.

Those in the Kwinana North area have experienced a turnaround after doubling their year to date rainfall in the space of a week, with some late paddocks now expected to be planted.

“Patchy, early-sown canola crops are expected to recover while pasture paddocks now have a tinge of green,” Mr Lamond said.

“A lot of farmers with livestock were sweating on the rain and were relieved their extra sheep would have paddock feed.”

The entire Kwinana South zone has been “looking brilliant”, with emerged crops “freshened”.

“The country looks brilliant east to west, and is unusually consistent from Meckering through to Merredin,” Mr Lamond said.

“There is still a bit of patchwork of paddocks across the zone… but the rain was still early enough to give the un-emerged crops a chance of good grain yield potential.”

Farmers were now facing an “conundrum” of how to tackle weed control, with a flush expected.

Crops in the southern part of the region are looking good after the rain, with those given nitrogen top-ups really “taking off”, Mr Lamond said.

Patchy canola crops are expected to improve and pastures will now be able to support extra sheep on-farm, but feed will still be tight until August.

About 30 per cent of the southern part of the Zone is still to be sown.

Farmers in the western parts of the Albany Port Zone are finding their crops have “gone from a feather duster to a rooster” in four days, Mr Lamond said.

“Most of the region has had between 80 to 110mm of rain in the last week, completely transforming the outlook for the region,” he said.

“Crops have come to life and the non-existent pastures have greened up within days of the rain.”

It’s a different story in the west and southern portion of the Albany Port Zone, where crops are falling behind in growth stages compared to this time last year – with less subsoil moisture reserves.

The Lakes district is well behind where it was last year, with the most crops emerging on the recent rains.

“It is not too for average grain yield potential to be achieved,” Mr Lamond said.

“But frost will have a greater impact over a wider area.”

Farmers near Esperance were in “desperate need of the recent rains”, with crops looking patchy and some drier areas unfortunately missing out once again – including Cascade and Salmon Gums.

The subsoil moisture reserves from rain around harvest are still there, and the later sown and emerged crops will now be able to get their roots down into it. The coastal areas are very good and not too wet as yet.

Large areas of country were sown on the angle to get crops up in the drying profile, with more farmers planting seed deeper than ever before.

Weed control in the canola paddocks has been challenging as the crops have a large range of growth stages due to the staggered emergence following planting.

A lot of nitrogen went out ahead of the rains, and growers will now be concentrating on getting rid of the flush of weeds that are expected to germinate now the country is wet.

Some country has needed double baiting for mice, although this has mainly been in barley stubbles or where there was delayed harvest from moisture or hail damage.

Farmers in the Geraldton Port Zone are also in the running for average grain yield potential, Mr Lamond said, but they would need plentiful winter rain for this to occur.

Some crops have failed to emerge, while other parts needed re-seeding after a lack of rain.

The north-eastern and eastern fringe missed out on the good falls of rain, and some of the light country in the northern areas was starting to blow with little coverage.

Very few lupins have been planted in the region this year, and canola plantings have been significantly down over recent years, with cereals dominating most programs.

Many growers chased deep moisture, which has paid off as these crops have emerged with enough plants to give good yield potential.

The extra few weeks of growing season this has delivered is critical in the warmer northern portions of the grain belt.

This practice change of chasing deep moisture occurred over a large area of the state this year and while sowing deep is not without its own risks, this year it has paid off.

There is a big contrast in yield potential between those that did chase moisture and those that did not, and this could end up adding significant tonnes of grain to the 2023 WA total.","GIWA Crop Report: WA's grain growing season ‘transformed’ and ‘turned around dramatically’ by recent rainfall across Western Australia, boosting the State’s grain production potential to average to above-average. The Grain Industry Association of WA this month released its crop report for June, revealing that the State's crop potential had “turned around drastically” in a period of about four days. Wheat is still the biggest crop in WA, with 4.63 million hectares going into the ground across the grain growing regions, followed by canola and barley. Farmers in the Kwinana North area have experienced a turnaround after doubling their year to date rainfall in the space of a week, with some late paddocks now expected to be planted. Farmers are facing an “conundrum” of how to tackle weed control, with patches of patchwork of paddocks across the region still early enough to give the un-emerged crops a chance of good grain yield potential.",0
